species	replicate	generation	totalreads	readlength	readtype
mel	R1	G01		26714134	125	paired
mel	R1	G10		27630152	125	paired
mel	R1	G20		30589764	125	paired
mel	R1	G34		22727883	125	paired
mel	R1	G40	27593549	125	paired
mel	R1	G48	26804510	125	paired
mel	R1	G63		35552063	100	paired
mel	R2	G01		29362505	125	paired
mel	R2	G10		27137385	125	paired
mel	R2	G20		28290767	125	paired
mel	R2	G34		20023157	125	paired
mel	R2	G40	26821470	125	paired
mel	R2	G48	26282343	125	paired
mel	R2	G63		44583633	100	paired
mel	R3	G01		28528059	125	paired
mel	R3	G10		30253806	125	paired
mel	R3	G20		23926839	125	paired
mel	R3	G34		24064611	125	paired
mel	R3	G40	38535020	125	paired
mel	R3	G48	24943600	125	paired
mel	R3	G63		38737252	100	paired
mel	naive	-	14935203	125	paired
