species replicate generation run totalreads readlength tissue
dmel R1 G1 run1 12200215 50 ovaries
dmel R1 G15 run1 14332444 75 wholebody
dmel R1 G15 run2 12444828 75 wholebody
dmel R1 G21 run1 13497060 75 wholebody
dmel R1 G21 run2 11643714 75 wholebody
dmel R1 G25 run1 14663976 75 wholebody
dmel R1 G25 run2 12574018 75 wholebody
dmel R1 G30 run1 14825830 75 wholebody
dmel R1 G30 run2 12690099 75 wholebody
dmel R1 G35 run1 12605340 50 ovaries
dmel R1 G40 run1 12920000 75 wholebody
dmel R1 G40 run2 11173097 75 wholebody
dmel R1 G45 run1 11801273 75 wholebody
dmel R1 G45 run2 10070017 75 wholebody
dmel R1 G6 run1 15634888 75 wholebody
dmel R1 G6 run2 13546426 75 wholebody
dmel R2 G1 run1 12485241 50 ovaries
dmel R2 G15 run1 12816885 75 wholebody
dmel R2 G15 run2 11073322 75 wholebody
dmel R2 G21 run1 15224282 75 wholebody
dmel R2 G21 run2 13042586 75 wholebody
dmel R2 G25 run1 13313137 75 wholebody
dmel R2 G25 run2 11577780 75 wholebody
dmel R2 G30 run1 14634092 75 wholebody
dmel R2 G30 run2 12589509 75 wholebody
dmel R2 G35 run1 11675753 50 ovaries
dmel R2 G40 run1 13267775 75 wholebody
dmel R2 G40 run2 11397755 75 wholebody
dmel R2 G45 run1 12525298 75 wholebody
dmel R2 G45 run2 10756270 75 wholebody
dmel R2 G6 run1 13786454 75 wholebody
dmel R2 G6 run2 11904680 75 wholebody
dmel R3 G1 run1 13610358 50 ovaries
dmel R3 G15 run1 14654721 75 wholebody
dmel R3 G15 run2 12567287 75 wholebody
dmel R3 G21 run1 15301439 75 wholebody
dmel R3 G21 run2 13158327 75 wholebody
dmel R3 G25 run1 12761202 75 wholebody
dmel R3 G25 run2 10897447 75 wholebody
dmel R3 G30 run1 15222316 75 wholebody
dmel R3 G30 run2 13036716 75 wholebody
dmel R3 G35 run1 9274309 50 ovaries
dmel R3 G40 run1 12811052 75 wholebody
dmel R3 G40 run2 11064679 75 wholebody
dmel R3 G45 run1 12921264 75 wholebody
dmel R3 G45 run2 11101567 75 wholebody
dmel R3 G6 run1 11193408 75 wholebody
dmel R3 G6 run2 9993762 75 wholebody
