line	replicate	dysgenic	intermediate	non-dysgenic	total_ovaries	percentage_dysgenic
R1x68	1	0	4	46	100	4
R1x68	2	0	1	49	100	1
R1x68	3	1	2	47	100	4
R2x68	1	12	4	34	100	28
R2x68	2	3	8	39	100	14
R2x68	3	2	8	40	100	12
R3x68	1	0	2	48	100	2
R3x68	2	0	3	47	100	3
R3x68	3	1	1	48	100	3
68xR1	1	48	2	0	100	98
68xR1	2	50	0	0	100	100
68xR1	3	46	3	1	100	95
68xR2	1	33	7	10	100	73
68xR2	2	25	14	11	100	64
68xR2	3	0	2	48	100	2
68xR3	1	45	1	4	100	91
68xR3	2	47	3	0	100	97
68xR3	3	44	5	1	100	93
Harx68	1	0	0	50	100	0
Harx68	2	0	0	50	100	0
Harx68	3	0	0	50	100	0
68xHar	1	50	0	0	100	100
68xHar	2	50	0	0	100	100
68xHar	3	50	0	0	100	100
