line	replicate	dysgenic	intermediate	non-dysgenic	total_ovaries	percentage_dysgenic
R1x68	1	13	5	32	100	31
R1x68	2	12	2	36	100	26
R1x68	3	10	1	39	100	21
R2x68	1	26	4	20	100	56
R2x68	2	30	2	18	100	62
R2x68	3	18	11	21	100	47
R3x68	1	10	8	32	100	28
R3x68	2	14	2	34	100	30
R3x68	3	16	4	30	100	36
68xR1	1	50	0	0	100	100
68xR1	2	48	0	2	100	96
68xR1	3	47	3	0	100	97
68xR2	1	18	8	24	100	44
68xR2	2	33	4	13	100	70
68xR2	3	31	2	17	100	64
68xR3	1	44	1	5	100	89
68xR3	2	46	2	2	100	94
68xR3	3	41	4	5	100	86
Harx68	1	50	0	0	100	100
Harx68	2	50	0	0	100	100
Harx68	3	50	0	0	100	100
68xHar	1	0	0	50	100	0
68xHar	2	0	0	50	100	0
68xHar	3	0	0	50	100	0
