line	replicate	dysgenic	intermediate	non-dysgenic	total_ovaries	percentage_dysgenic
R1xHar	1	0	1	49	100	1
R1xHar	2	0	3	47	100	3
R1xHar	3	2	5	43	100	9
R2xHar	1	49	1	0	100	99
R2xHar	2	45	5	0	100	95
R2xHar	3	50	0	0	100	100
R3xHar	1	1	4	45	100	6
R3xHar	2	2	6	42	100	10
R3xHar	3	0	5	45	100	5
HarxR1	1	0	1	49	100	1
HarxR1	2	0	5	45	100	5
HarxR1	3	0	2	48	100	2
HarxR2	1	0	3	47	100	3
HarxR2	2	0	0	50	100	0
HarxR2	3	0	2	48	100	2
HarxR3	1	0	1	49	100	1
HarxR3	2	0	0	50	100	0
HarxR3	3	0	2	48	100	2
Harx68	1	0	0	50	100	0
Harx68	2	0	0	50	100	0
Harx68	3	0	0	50	100	0
68xHar	1	50	0	0	100	100
68xHar	2	50	0	0	100	100
68xHar	3	50	0	0	100	100
