TEfam	replicate	trunc_start	trunc_end	average_hq_cov	average_hq_cov_outside_truncs	coverage_ratio
PPI251	R1	1688	1831	30.3504467592593	22.1075491004373	-37.2854431822067
PPI251	R1	1491	2044	28.7095959687124	22.1075491004373	-29.8633142836469
PPI251	R1	1830	1858	28.4944770114943	22.1075491004373	-28.8902577216516
PPI251	R1	1483	1597	28.4906514492754	22.1075491004373	-28.8729533963213
PPI251	R1	1564	2390	26.6821853083434	22.1075491004373	-20.6926429841816
PPI251	R1	1805	2295	26.4124428038018	22.1075491004373	-19.4725054496401
PPI251	R1	1411	2491	26.3186988128276	22.1075491004373	-19.0484693407605
PPI251	R1	1340	2561	26.0260469858156	22.1075491004373	-17.7247051112547
PPI251	R1	1968	2340	25.0644725201072	22.1075491004373	-13.3751751776568
PPI251	R1	1516	2666	24.9777942368955	22.1075491004373	-12.9830996797443
PPI251	R1	1557	2655	24.8683276463452	22.1075491004373	-12.4879448796669
PPI251	R1	716	2231	23.67092205365	22.1075491004373	-7.07167016167239
PPI251	R1	2018	2435	23.5233720095694	22.1075491004373	-6.404250885975
PPI251	R1	687	2123	23.3683486430063	22.1075491004373	-5.70302721862579
PPI251	R1	655	2013	23.0327097743439	22.1075491004373	-4.18481790859539
PPI251	R1	589	2411	23.0112118303163	22.1075491004373	-4.08757536067709
PPI251	R1	490	2432	22.6421942014068	22.1075491004373	-2.41838251061002
PPI251	R1	331	2257	22.2578609237156	22.1075491004373	-0.679911746867418
PPI251	R1	300	2198	22.1041451202387	22.1075491004373	0.0153973657734667
PPI251	R1	204	2447	21.853931335413	22.1075491004373	1.14719982695547
PPI251	R1	141	2569	21.6499047962124	22.1075491004373	2.07008159134104
PPI251	R1	239	2717	21.6472121487159	22.1075491004373	2.08226135620018
PPI251	R1	138	2040	21.4874214398318	22.1075491004373	2.80504934214147
PPI251	R1	2138	2666	21.0614664461248	22.1075491004373	4.73178935195403
PPI251	R1	268	1720	20.0977218972241	22.1075491004373	9.09113531347253
PPI251	R1	165	1376	17.4792603822882	22.1075491004373	20.9353316241532
PPI251	R1	137	1286	16.8779555797101	22.1075491004373	23.6552387465858
PPI251	R1	137	1283	16.8618710403952	22.1075491004373	23.7279946149177
PPI251	R1	293	876	16.775328053653	22.1075491004373	24.1194581206599
PPI251	R1	762	1064	16.7009224422442	22.1075491004373	24.4560201297307
PPI251	R1	243	1238	16.6418878848728	22.1075491004373	24.723053608219
PPI251	R1	1087	1238	15.9243371710526	22.1075491004373	27.9687807151012
PPI251	R1	1255	1278	15.0713125	22.1075491004373	31.8273028297745
PPI251	R2	2609	2766	9.08244476409666	7.06205372514815	-28.6091145377987
PPI251	R2	2507	2543	7.42486977886978	7.06205372514815	-5.1375430978333
PPI251	R2	2490	2559	7.30853896103896	7.06205372514815	-3.49027698575939
PPI251	R2	1898	2321	5.37397469982847	7.06205372514815	23.9035143460943
PPI251	R2	1715	2036	5.21593224167137	7.06205372514815	26.1414250772788
PPI251	R2	1712	2034	5.18808809456797	7.06205372514815	26.5357034017872
PPI251	R2	185	2563	3.94076758760365	7.06205372514815	44.1979947905171
PPI251	R2	214	2619	3.93905025315499	7.06205372514815	44.2223125671229
PPI251	R2	189	2563	3.92709638277512	7.06205372514815	44.3915816047869
PPI251	R2	190	2563	3.92364880906793	7.06205372514815	44.4403998925168
PPI251	R2	193	2569	3.92233403449727	7.06205372514815	44.4590173460486
PPI251	R2	193	2567	3.91933875598086	7.06205372514815	44.5014310493844
PPI251	R2	192	2563	3.91685892227503	7.06205372514815	44.5365459579132
PPI251	R2	193	2563	3.91353855296959	7.06205372514815	44.5835630075514
PPI251	R2	370	2659	3.65376081778484	7.06205372514815	48.2620642664654
PPI251	R2	372	2659	3.65140607120153	7.06205372514815	48.2954079179718
PPI251	R2	304	2459	3.38899641592174	7.06205372514815	52.0111776570966
PPI251	R2	309	2459	3.37422349013144	7.06205372514815	52.2203650459958
PPI251	R2	310	2459	3.37130346723044	7.06205372514815	52.2617131157591
PPI251	R2	314	2463	3.36596803382664	7.06205372514815	52.3372638494615
PPI251	R2	314	2462	3.36443098269808	7.06205372514815	52.3590287805761
PPI251	R2	313	2460	3.36422934653801	7.06205372514815	52.3618839862702
PPI251	R2	314	2461	3.36286515997969	7.06205372514815	52.3812011227777
PPI251	R2	314	2460	3.36134153364102	7.06205372514815	52.4027759563596
PPI251	R2	314	2459	3.35977768363975	7.06205372514815	52.424920364518
PPI251	R2	206	1634	3.10502398371398	7.06205372514815	56.0322803456322
PPI251	R2	207	1634	3.09900579322638	7.06205372514815	56.1174990471859
PPI251	R2	210	1637	3.08023917748918	7.06205372514815	56.3832378317887
PPI251	R2	210	1640	3.07916206086017	7.06205372514815	56.3984900044699
PPI251	R2	665	2559	3.03410232669705	7.06205372514815	57.0365442577627
PPI251	R2	525	1326	1.83239854908184	7.06205372514815	74.0528942373148
PPI251	R2	526	1326	1.82620996481671	7.06205372514815	74.1405257465895
PPI251	R2	527	1327	1.81826115083418	7.06205372514815	74.2530824374882
PPI251	R2	529	1328	1.80460625	7.06205372514815	74.4464383841523
PPI251	R2	529	1329	1.80319668596073	7.06205372514815	74.4663980742669
PPI251	R2	529	1330	1.80180151892995	7.06205372514815	74.4861539000519
PPI251	R2	527	1440	1.6899987069823	7.06205372514815	76.0693026029501
PPI251	R2	533	1440	1.65863155786944	7.06205372514815	76.5134672940392
PPI251	R2	614	1546	1.20114761765566	7.06205372514815	82.9915253493705
PPI251	R2	614	1544	1.19930797773655	7.06205372514815	83.0175749942855
PPI251	R2	617	1546	1.18670469208211	7.06205372514815	83.1960398735537
PPI251	R2	617	1545	1.18568098639789	7.06205372514815	83.2105357372793
PPI251	R2	618	1548	1.18392119910165	7.06205372514815	83.2354546541373
PPI251	R2	618	1546	1.18186799099716	7.06205372514815	83.2645284644536
PPI251	R2	618	1545	1.18083797021944	7.06205372514815	83.2791137510829
PPI251	R2	619	1546	1.17804271159875	7.06205372514815	83.31869513533
PPI251	R2	747	1779	1.07551931708176	7.06205372514815	84.7704455539356
PPI251	R2	756	1779	1.05244735440341	7.06205372514815	85.0971488555005
PPI251	R2	769	1785	1.04880745508179	7.06205372514815	85.1486905098589
PPI251	R2	765	1782	1.04328889087337	7.06205372514815	85.226834409965
PPI251	R2	769	1783	1.03926117330945	7.06205372514815	85.2838676430821
PPI251	R2	770	1782	1.03480552813425	7.06205372514815	85.3469604111154
PPI251	R2	769	1782	1.03448180025103	7.06205372514815	85.351544458417
PPI251	R2	764	1779	1.03360254115963	7.06205372514815	85.3639949314044
PPI251	R2	768	1781	1.03193006993007	7.06205372514815	85.3876774364468
PPI251	R2	765	1779	1.03129726824899	7.06205372514815	85.3966380264636
PPI251	R2	769	1781	1.02978147716055	7.06205372514815	85.4181019114387
PPI251	R2	767	1780	1.02950564819796	7.06205372514815	85.4220077010762
