TEfam	replicate	trunc_start	trunc_end	average_hq_cov	average_hq_cov_outside_truncs	coverage_ratio
PPI251	R1	1491	2044	1264.49894705174	967.598926374865	-30.6842031945224
PPI251	R1	1483	1597	1255.61449275362	967.598926374865	-29.7660072296501
PPI251	R1	1830	1858	1255.11494252874	967.598926374865	-29.7143794103883
PPI251	R1	1564	2390	1174.65084643289	967.598926374865	-21.3985272631245
PPI251	R1	1805	2295	1162.16395112016	967.598926374865	-20.1080240419697
PPI251	R1	1411	2491	1159.01110083256	967.598926374865	-19.782181360497
PPI251	R1	1968	2340	1102.41689008043	967.598926374865	-13.933248583756
PPI251	R1	1516	2666	1100.03562119896	967.598926374865	-13.6871477648565
PPI251	R1	1557	2655	1095.16954807401	967.598926374865	-13.1842458917445
PPI251	R1	716	2231	1042.53111257696	967.598926374865	-7.74413697241563
PPI251	R1	2018	2435	1035.10227272727	967.598926374865	-6.97637673134999
PPI251	R1	687	2123	1029.29685687775	967.598926374865	-6.37639509729956
PPI251	R1	655	2013	1014.61601667893	967.598926374865	-4.85915073099727
PPI251	R1	490	2432	997.033281866529	967.598926374865	-3.04199960224652
PPI251	R1	331	2257	980.045320878741	967.598926374865	-1.28631751902691
PPI251	R1	300	2198	973.341012813762	967.598926374865	-0.593436627757526
PPI251	R1	141	2569	953.515850144092	967.598926374865	1.45546629361556
PPI251	R1	239	2717	953.394345838376	967.598926374865	1.46802359420826
PPI251	R1	2138	2666	927.737555135476	967.598926374865	4.11961714227303
PPI251	R1	268	1720	885.20406056435	967.598926374865	8.51539450536694
PPI251	R1	165	1376	769.725041254125	967.598926374865	20.4499901485091
PPI251	R1	137	1283	742.41746585295	967.598926374865	23.272189993592
PPI251	R1	293	876	737.64825913242	967.598926374865	23.7650808588597
PPI251	R1	1087	1238	702.816885964912	967.598926374865	27.3648547133021
PPI251	R1	1255	1278	664.447916666667	967.598926374865	31.330234195687
PPI251	R2	1715	2036	233.927442123094	310.903244400527	24.758764555788
PPI251	R2	193	2563	174.79935585292	310.903244400527	43.7769277094673
PPI251	R2	314	2459	150.088579174786	310.903244400527	51.7249877967077
PPI251	R2	210	1637	137.132480264833	310.903244400527	55.8922324759758
PPI251	R2	665	2559	135.603454065723	310.903244400527	56.3840337764281
PPI251	R2	529	1328	79.8876136363636	310.903244400527	74.3046703194107
PPI251	R2	533	1440	73.4318181818182	310.903244400527	76.3811348050076
PPI251	R2	618	1545	52.1305838557994	310.903244400527	83.2325378410522
PPI251	R2	769	1781	45.7550031409854	310.903244400527	85.2832017789944
PPI251	R3	164	1049	955.859224297148	888.164934532025	-7.62181517566785
PPI251	R3	2552	2855	863.540968899522	888.164934532025	2.77245415520464
PPI251	R3	2295	2846	805.247035573123	888.164934532025	9.33586721734203
PPI251	R3	65	2585	798.070390537665	888.164934532025	10.1438978833172
PPI251	R3	296	1465	789.564724164724	888.164934532025	11.1015653212265
PPI251	R3	136	2437	784.909288365848	888.164934532025	11.6257287528
PPI251	R3	156	2411	780.401555448098	888.164934532025	12.1332620658693
PPI251	R3	226	2757	769.492567858682	888.164934532025	13.3615235255682
PPI251	R3	206	2602	768.001175712064	888.164934532025	13.5294419029586
PPI251	R3	307	1642	767.765446379967	888.164934532025	13.5559830692366
PPI251	R3	307	1676	765.718115461181	888.164934532025	13.7864955381695
PPI251	R3	231	2474	764.43356020094	888.164934532025	13.9311257988675
PPI251	R3	244	2686	763.171510437986	888.164934532025	14.0732221273629
PPI251	R3	303	2733	757.165364047717	888.164934532025	14.7494643608433
PPI251	R3	282	2611	755.333593445181	888.164934532025	14.9557065272829
PPI251	R3	370	1659	754.34052149401	888.164934532025	15.0675181866449
PPI251	R3	527	1420	746.989831197885	888.164934532025	15.8951449044231
PPI251	R3	403	2384	739.534905054582	888.164934532025	16.7345077134526
PPI251	R3	541	2564	725.333587854833	888.164934532025	18.3334581614605
PPI251	R3	555	2647	724.900360509056	888.164934532025	18.3822359648766
PPI251	R3	1742	2217	724.218678380443	888.164934532025	18.4589877147048
PPI251	R3	535	1991	721.373369938229	888.164934532025	18.7793458296886
PPI251	R3	1471	2599	716.36387792898	888.164934532025	19.3433730519397
PPI251	R3	656	2144	696.240735087612	888.164934532025	21.6090719169788
PPI251	R3	652	1903	695.648634911414	888.164934532025	21.675737482481
PPI251	R3	1423	2188	694.618561595063	888.164934532025	21.7917151884567
PPI251	R3	984	2690	682.353304574746	888.164934532025	23.1726813292535
PPI251	R3	923	2482	671.152331002331	888.164934532025	24.4338179872006
PPI251	R3	802	2216	669.737680693864	888.164934532025	24.5930958705604
PPI251	R3	953	2339	661.668086779839	888.164934532025	25.5016651689281
PPI251	R3	1069	2347	659.287795863245	888.164934532025	25.7696661700988
PPI251	R3	751	1746	658.471613727638	888.164934532025	25.8615615043858
PPI251	R3	1151	2192	656.207293666027	888.164934532025	26.1165051498252
PPI251	R3	803	1671	636.103567318757	888.164934532025	28.3800178787828
PPI251	R3	1362	1696	636.098507462687	888.164934532025	28.3805875765803
PPI251	R3	980	1798	621.382062382062	888.164934532025	30.0375371484949
PPI251	R3	903	1394	596.966925351072	888.164934532025	32.7864789364135
PPI251	R3	1075	1720	595.984801576133	888.164934532025	32.8970579219998
PPI251	R3	1241	1583	579.371587596077	888.164934532025	34.7675679291089
PPI251	R3	1013	1551	577.772474278968	888.164934532025	34.9476148162282
