TEfam	replicate	trunc_start	trunc_end	average_hq_cov	average_hq_cov_outside_truncs	coverage_ratio
PPI251	R1	1688	1831	1336.73321759259	1004.222414087	-33.1112708540661
PPI251	R1	1487	2042	1264.74595323741	1004.222414087	-25.9428126175876
PPI251	R1	1491	2044	1264.49894705174	1004.222414087	-25.9182158567306
PPI251	R1	1492	2045	1264.38793622142	1004.222414087	-25.9071614499809
PPI251	R1	1826	1857	1259.40364583333	1004.222414087	-25.4108281359493
PPI251	R1	1483	1597	1255.61449275362	1004.222414087	-25.0335060381195
PPI251	R1	1830	1858	1255.11494252874	1004.222414087	-24.9837610595291
PPI251	R1	1563	2390	1174.72041062802	1004.222414087	-16.9781110388803
PPI251	R1	1564	2390	1174.65084643289	1004.222414087	-16.9711838687481
PPI251	R1	1564	2391	1174.28452093398	1004.222414087	-16.934705346284
PPI251	R1	1804	2295	1162.67242547425	1004.222414087	-15.7783782919551
PPI251	R1	1805	2295	1162.16395112016	1004.222414087	-15.7277446527374
PPI251	R1	1805	2297	1161.38336713996	1004.222414087	-15.6500144637619
PPI251	R1	1805	2298	1161.01417004049	1004.222414087	-15.6132499886522
PPI251	R1	1411	2491	1159.01110083256	1004.222414087	-15.4137852904116
PPI251	R1	1340	2561	1146.36327059465	1004.222414087	-14.1543202495513
PPI251	R1	1968	2340	1102.41689008043	1004.222414087	-9.77816015814577
PPI251	R1	1968	2342	1101.18733333333	1004.222414087	-9.65572147027665
PPI251	R1	1516	2666	1100.03562119896	1004.222414087	-9.54103451266448
PPI251	R1	1557	2655	1095.16954807401	1004.222414087	-9.05647321860346
PPI251	R1	716	2231	1042.53111257696	1004.222414087	-3.81476234274074
PPI251	R1	712	2230	1041.89313144613	1004.222414087	-3.75123247904912
PPI251	R1	710	2233	1041.60203412073	1004.222414087	-3.72224514304582
PPI251	R1	710	2230	1041.57796405873	1004.222414087	-3.71984825748899
PPI251	R1	2015	2433	1036.8331344471	1004.222414087	-3.24736033598101
PPI251	R1	2018	2435	1035.10227272727	1004.222414087	-3.07500193254933
PPI251	R1	687	2123	1029.29685687775	1004.222414087	-2.49690132773499
PPI251	R1	655	2013	1014.61601667893	1004.222414087	-1.03499010240435
PPI251	R1	591	2413	1013.45497348693	1004.222414087	-0.919373962422071
PPI251	R1	589	2411	1013.33177911867	1004.222414087	-0.907106324642911
PPI251	R1	490	2432	997.033281866529	1004.222414087	0.715890436184949
PPI251	R1	490	2434	996.894215938303	1004.222414087	0.729738556509233
PPI251	R1	488	2432	996.718037703513	1004.222414087	0.747282303025813
PPI251	R1	486	2436	996.141594054331	1004.222414087	0.80468429297305
PPI251	R1	331	2257	980.045320878741	1004.222414087	2.40754367450005
PPI251	R1	331	2258	980.040629322268	1004.222414087	2.40801085750716
PPI251	R1	300	2198	973.341012813762	1004.222414087	3.07515554722191
PPI251	R1	204	2447	962.364490493167	1004.222414087	4.16819252455069
PPI251	R1	141	2569	953.515850144092	1004.222414087	5.04933600680602
PPI251	R1	140	2569	953.486454046639	1004.222414087	5.052263256491
PPI251	R1	138	2569	953.427083333333	1004.222414087	5.05817536445366
PPI251	R1	239	2721	953.410289971808	1004.222414087	5.05984763956816
PPI251	R1	141	2571	953.407891128479	1004.222414087	5.06008651526892
PPI251	R1	239	2720	953.40488181574	1004.222414087	5.06038618122909
PPI251	R1	239	2719	953.401652559452	1004.222414087	5.06070774906536
PPI251	R1	239	2718	953.398420698925	1004.222414087	5.0610295762305
PPI251	R1	137	2569	953.394677353062	1004.222414087	5.061402336867
PPI251	R1	239	2717	953.394345838376	1004.222414087	5.06143534894498
PPI251	R1	238	2717	953.358165322581	1004.222414087	5.06503818784677
PPI251	R1	236	2717	953.28475020145	1004.222414087	5.07234883139546
PPI251	R1	138	2044	946.907315154693	1004.222414087	5.70741084129448
PPI251	R1	140	2040	946.525600561108	1004.222414087	5.74542180263435
PPI251	R1	138	2040	946.4570415134	1004.222414087	5.75224888065478
PPI251	R1	2136	2666	928.600753295669	1004.222414087	7.53036973986359
PPI251	R1	2138	2668	927.880728185813	1004.222414087	7.60206950475185
PPI251	R1	2138	2666	927.737555135476	1004.222414087	7.61632661038192
PPI251	R1	268	1722	885.768900343643	1004.222414087	11.7955456960253
PPI251	R1	268	1720	885.20406056435	1004.222414087	11.8517921780167
PPI251	R1	265	1718	884.44641219624	1004.222414087	11.9272384494284
PPI251	R1	164	1376	769.82536411102	1004.222414087	23.3411490012487
PPI251	R1	152	1373	769.730496453901	1004.222414087	23.3505958783337
PPI251	R1	165	1376	769.725041254125	1004.222414087	23.3511391045851
PPI251	R1	126	1283	747.939694876223	1004.222414087	25.5205137443364
PPI251	R1	129	1283	746.351515151515	1004.222414087	25.6786639411882
PPI251	R1	130	1283	745.843298671288	1004.222414087	25.7292719014466
PPI251	R1	132	1283	744.829282407407	1004.222414087	25.8302471684448
PPI251	R1	133	1283	744.332319721981	1004.222414087	25.8797344810616
PPI251	R1	135	1286	744.064308449074	1004.222414087	25.9064229187171
4PPI251	R1	134	1283	743.84115942029	1004.222414087	25.92864399501
PPI251	R1	135	1285	743.822256009267	1004.222414087	25.9305263878701
PPI251	R1	135	1284	743.588043478261	1004.222414087	25.9538491625584
PPI251	R1	137	1287	743.377425427165	1004.222414087	25.9748224099328
PPI251	R1	135	1283	743.354438642298	1004.222414087	25.9771114232574
PPI251	R1	137	1286	743.131014492754	1004.222414087	25.9993598959473
PPI251	R1	137	1285	742.88772845953	1004.222414087	26.0235862057578
PPI251	R1	136	1283	742.874491869919	1004.222414087	26.0249042991827
PPI251	R1	137	1284	742.652293844367	1004.222414087	26.0470306750169
PPI251	R1	137	1283	742.41746585295	1004.222414087	26.070414736966
PPI251	R1	137	1282	742.192481093659	1004.222414087	26.0928186144472
PPI251	R1	292	876	737.669515669516	1004.222414087	26.5432134035593
PPI251	R1	293	876	737.64825913242	1004.222414087	26.5453301196171
PPI251	R1	762	1064	734.442519251925	1004.222414087	26.8645562029554
PPI251	R1	243	1238	732.425451807229	1004.222414087	27.0654148390903
PPI251	R1	444	502	705.25988700565	1004.222414087	29.7705491221442
PPI251	R1	1087	1238	702.816885964912	1004.222414087	30.0138220272764
PPI251	R1	1252	1278	666.83024691358	1004.222414087	33.5973547732617
PPI251	R1	1255	1278	664.447916666667	1004.222414087	33.8345861090191
PPI251	R2	2609	2766	405.353279631761	315.457933970256	-28.4967775354735
PPI251	R2	2507	2543	332	315.457933970256	-5.24382627551978
PPI251	R2	2490	2559	326.737662337662	315.457933970256	-3.57566799016378
PPI251	R2	1898	2321	240.748284734134	315.457933970256	23.6829197147935
PPI251	R2	1715	2036	233.927442123094	315.457933970256	25.8451232533746
PPI251	R2	1712	2034	232.684773430903	315.457933970256	26.2390485785522
